ID,idade,gênero,gênero_3_TEXT,decl_racial,decl_racial_5_TEXT,escolaridade,escolaridade_transf,área_estudo,curso,cidade_bairro_1,renda,renda_e_pessoas,contrato_AB,contrato_CD,contrato_EF,verif_contrato_2,poltrona_venda_reais,poltrona_compra_reai,poltrona_venda_porce,Q30,verif_poltrona,A casa_1,A casa_2,A casa_3,verif_casa,economicam,felicidade,atratividade_trab,verif_maria,setal1997-funnel
NA,"Parte A - Pesquisa Sociodemográfica

 

 
Qual a sua idade?","Por favor, indique seu gênero. - Selected Choice","Por favor, indique seu gênero. - Outro – Texto",Qual raça você considera ser? - Selected Choice,Qual raça você considera ser? - Outro (Especificar) – Texto,Qual o seu nível de escolaridade?,NA,"Se estiver cursando/cursou universidade, qual a área?",Qual curso?,Em que cidade você mora? - Cidade,Qual a sua renda média mensal familiar?,Quantas pessoas vivem dessa renda familiar,"O Contrato

 

Imagine que estamos em 2011 e que você dirige uma firma na Zona Franca de Manaus, que produz computadores. Você está prestes a assinar um contrato com uma empresa local para a venda de novos computadores que serão entregues em Janeiro de 2013. 

 

Esses computadores possuem, em 2011, o valor de R$1.000 cada, mas devido à inflação, os preços tendem a crescer nos próximos anos, incluindo custos de produção e os preços dos computadores. A melhor estimativa, segundo especialistas, é de que os preços em Manaus estejam 20% mais altos em dois anos, com uma mesma probabilidade de que este aumento seja maior ou menor que 20%. Os especialistas concordam que um aumento de 10% nos preços é tão provável quanto um aumento de 30%. 

 

Você deve assinar o contrato agora (em 2011). O pagamento integral só será feito a partir da entrega em Janeiro de 2013. 

 

Dois contratos estão disponíveis para você. Indique sua preferência dentre os contratos abaixo, avaliando qual deles é mais adequado.","O Contrato

 

Imagine que estamos em 2011 e que você é o diretor de uma divisão corporativa na Zona Franca de Manaus, que produz computadores. Você está prestes a assinar um contrato com uma empresa local para a venda de novos computadores que serão entregues em Janeiro de 2013. 

 

Esses computadores possuem, atualmente, o valor de R$1.000 a peça, mas devido à inflação, os preços, incluindo custos de produção e preços de computadores, tendem a crescer nos próximos anos. A melhor estimativa, segundo especialistas, é de que os preços em Manaus estejam 20% mais altos em dois anos, com uma mesma probabilidade que este aumento seja maior ou menor que 20%. Os especialistas concordam que um aumento de 10% nos preços é tão provável quanto um aumento de 30%. 

 

Você deve assinar o contrato agora. O pagamento integral só será feito a partir da entrega em Janeiro de 2013. 

 

Dois contratos estão disponíveis para você. Indique sua preferência dentre os contratos abaixo, avaliando qual deles é mais adequado.","O Contrato

 

Imagine que estamos em 2011 e que você é o diretor de uma divisão corporativa na Zona Franca de Manaus, que produz computadores. Você está prestes a assinar um contrato com uma empresa local para a venda de novos computadores que serão entregues em Janeiro de 2013. 

 

Esses computadores possuem, atualmente, o valor de R$1.000 a peça, mas devido à inflação, os preços, incluindo custos de produção e preços de computadores, tendem a crescer nos próximos anos. A melhor estimativa, segundo especialistas, é de que os preços em Manaus estejam 20% mais altos em dois anos, com uma mesma probabilidade que este aumento seja maior ou menor que 20%. Os especialistas concordam que um aumento de 10% nos preços é tão provável quanto um aumento de 30%. 

 

Você deve assinar o contrato agora. O pagamento integral só será feito a partir da entrega em Janeiro de 2013. 

 

Dois contratos estão disponíveis para você. Indique sua preferência dentre os contratos abaixo, avaliando qual deles é mais adequado.","Em relação aos aumentos da inflação em Manaus, qual das opções apresenta maior probabilidade d","(Nota: leia com cuidado)

 

A poltrona de couro (venda)
 

Mudanças na economia frequentemente afetam as decisões financeiras das pessoas. Imagine que o Brasil experienciou uma alta anormal na inflação que afetou todos os setores da economia. Imagine que dentro de um período de 6 meses, todos os benefícios e salários, assim como os preços de todos os bens e serviços, aumentaram em 25%. Agora, você ganha e gasta 25% mais do que antes.

 

6 meses atrás, você estava planejando vender uma poltrona de couro que, durante esse período de 6 meses, aumentou o preço de R$400 para R$500. 

 

Você estaria mais ou menos suscetível a vender essa poltrona agora?","(Nota: leia com cuidado)

 

A poltrona de couro (compra)

 

Mudanças na economia frequentemente afetam as decisões financeiras das pessoas. Imagine que o Brasil experienciou uma alta anormal na inflação que afetou todos os setores da economia. Imagine que dentro de um período de 6 meses, todos os benefícios e salários, assim como os preços de todos os bens e serviços, aumentaram em 25%. Agora, você ganha e gasta 25% mais do que antes.

 

6 meses atrás, você estava planejando comprar uma poltrona de couro que, durante esse período de 6 meses, aumentou o preço de R$400 para R$500.

 

Você estaria mais ou menos suscetível a comprar essa poltrona agora?","(Nota: leia com cuidado) 

 

A poltrona de couro (venda)

 
Mudanças na economia frequentemente afetam as decisões financeiras das pessoas. Imagine que o Brasil experienciou uma alta anormal na inflação que afetou todos os setores da economia. Imagine que dentro de um período de 6 meses, todos os benefícios e salários, assim como os preços de todos os bens e serviços, aumentaram em 25%. Agora, você ganha e gasta 25% mais do que antes.


 


6 meses atrás, você estava planejando vender uma poltrona de couro que, durante esse período de 6 meses, aumentou o preço em 25%. 

 

Você estaria mais ou menos suscetível a vender essa poltrona agora?","(Nota:  leia com cuidado) 

 

A poltrona de couro (compra)

 

Mudanças na economia frequentemente afetam as decisões financeiras das pessoas. Imagine que o Brasil experienciou uma alta anormal na inflação que afetou todos os setores da economia. Imagine que dentro de um período de 6 meses, todos os benefícios e salários, assim como os preços de todos os bens e serviços, aumentaram em 25%. Agora, você ganha e gasta 25% mais do que antes.

 

6 meses atrás, você estava planejando comprar uma poltrona de couro que, durante esse período de 6 meses, aumentou o preço em 25%.

 

Você estaria mais ou menos suscetível a comprar essa poltrona agora?",O que aconteceu com o preço da poltrona?,"A Casa
 


Suponha que André, Bento e Marcelo receberam, cada um, uma herança de R$200.000 e a usaram para comprar uma casa. Suponha que cada um deles vendeu a casa um ano após comprá-la. As condições econômicas, no entanto, eram diferentes em cada caso:

 

*Quando André possuía a casa, existia uma deflação de 25% - os preços de todos os bens e serviços caíram por volta de 25%. Um ano após André comprar a casa, ele vendeu por R$154.000 (23% menos do que ele pagou).

 

*Quando Bento possuía a casa, não existia nem inflação nem deflação - os preços não mudaram significativamente durante aquele ano. Ele vendeu a casa por R$198.000 (1% menos que o quanto ele havia pago)

 

*Quando Marcelo possuía a casa existia uma inflação de 25% - todos os preços subiram aproximadamente 25%. Um ano após ele comprar a casa, Marcelo a vendeu por R$246.000 (23% a mais do que ele pagou).
 

 


Ranqueie André, Bento e Marcelo em termos de qual obteve maior sucesso na sua transação de compra e venda na casa, assinalando 1 para a pessoa que fez o melhor negócio e 3 para a pessoa que fez o pior. - André","A Casa
 


Suponha que André, Bento e Marcelo receberam, cada um, uma herança de R$200.000 e a usaram para comprar uma casa. Suponha que cada um deles vendeu a casa um ano após comprá-la. As condições econômicas, no entanto, eram diferentes em cada caso:

 

*Quando André possuía a casa, existia uma deflação de 25% - os preços de todos os bens e serviços caíram por volta de 25%. Um ano após André comprar a casa, ele vendeu por R$154.000 (23% menos do que ele pagou).

 

*Quando Bento possuía a casa, não existia nem inflação nem deflação - os preços não mudaram significativamente durante aquele ano. Ele vendeu a casa por R$198.000 (1% menos que o quanto ele havia pago)

 

*Quando Marcelo possuía a casa existia uma inflação de 25% - todos os preços subiram aproximadamente 25%. Um ano após ele comprar a casa, Marcelo a vendeu por R$246.000 (23% a mais do que ele pagou).
 

 


Ranqueie André, Bento e Marcelo em termos de qual obteve maior sucesso na sua transação de compra e venda na casa, assinalando 1 para a pessoa que fez o melhor negócio e 3 para a pessoa que fez o pior. - Bento","A Casa
 


Suponha que André, Bento e Marcelo receberam, cada um, uma herança de R$200.000 e a usaram para comprar uma casa. Suponha que cada um deles vendeu a casa um ano após comprá-la. As condições econômicas, no entanto, eram diferentes em cada caso:

 

*Quando André possuía a casa, existia uma deflação de 25% - os preços de todos os bens e serviços caíram por volta de 25%. Um ano após André comprar a casa, ele vendeu por R$154.000 (23% menos do que ele pagou).

 

*Quando Bento possuía a casa, não existia nem inflação nem deflação - os preços não mudaram significativamente durante aquele ano. Ele vendeu a casa por R$198.000 (1% menos que o quanto ele havia pago)

 

*Quando Marcelo possuía a casa existia uma inflação de 25% - todos os preços subiram aproximadamente 25%. Um ano após ele comprar a casa, Marcelo a vendeu por R$246.000 (23% a mais do que ele pagou).
 

 


Ranqueie André, Bento e Marcelo em termos de qual obteve maior sucesso na sua transação de compra e venda na casa, assinalando 1 para a pessoa que fez o melhor negócio e 3 para a pessoa que fez o pior. - Marcelo",Eles venderam a casa após quanto tempo?,"Ganhos/ salários

 



Considere dois indivíduos, Maria e Carolina, que se formaram na mesma faculdade com um ano de diferença. Depois da graduação, ambas tinham trabalhos semelhantes em firmas de editoração. Maria começou com um salário mensal de R$3.000. Durante seu primeiro ano de trabalho, não houve inflação, e em seu segundo ano, Maria recebeu um aumento de 2% (R$60) em seu salário. Carolina também começou com um salário mensal de R$3.000. Durante seu primeiro ano de trabalho, houve uma inflação de 4%, e em seu segundo ano, Carolina recebeu um aumento de 5% (R$150) em seu salário.



 

Ao ingressar em seu segundo ano no emprego, quem estava melhor em termos econômicos?","Ganhos/ salários

 


Considere dois indivíduos, Maria e Carolina, que se formaram na mesma faculdade com um ano de diferença. Depois da graduação, ambas tinham trabalhos semelhantes em firmas de editoração. Maria começou com um salário mensal de R$3.000. Durante seu primeiro ano de trabalho, não houve inflação, e em seu segundo ano, Maria recebeu um aumento de 2% (R$60) em seu salário. Carolina também começou com um salário mensal de R$3.000. Durante seu primeiro ano de trabalho, houve uma inflação de 4%, e em seu segundo ano, Carolina recebeu um aumento de 5% (R$150) em seu salário.



 

Ao ingressar em seu segundo ano no emprego, quem você acha que está mais feliz?","Ganhos/ salários
 

Considere dois indivíduos, Maria e Carolina, que se formaram na mesma faculdade com um ano de diferença. Depois da graduação, ambas tinham trabalhos semelhantes em firmas de editoração. Maria começou com um salário mensal de R$3.000. Durante seu primeiro ano de trabalho, não houve inflação, e em seu segundo ano, Maria recebeu um aumento de 2% (R$60) em seu salário. Carolina também começou com um salário mensal de R$3.000. Durante seu primeiro ano de trabalho, houve uma inflação de 4%, e em seu segundo ano, Carolina recebeu um aumento de 5% (R$150) em seu salário.

 

Ao ingressar em seu segundo ano no emprego, cada uma recebeu uma proposta de uma outra firma/empresa. Quem, na sua opinião, é mais provável de deixar a posição atual por outro emprego?",Qual foi o aumento (em reais) recebido por Maria e Carolina respectivamente?,"Você completou este estudo... 

Encerraremos com uma última questão.

 

 

De 1 a 10, quanto você acha que compreendeu as perguntas feitas no estudo, considerando os conceitos matemáticos envolvidos?"
1,22,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Psicologia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,D,NA,30%,NA,NA,Mais suscetível,Igual,Aumentou,3,2,1,1 ano,Carolina,NA,NA,60 e 150,9
2,21,Mulher,NA,Branco,NA,Superior (incompleto),2,Humanas,Psicologia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,NA,NA,E,20%,NA,NA,Mais suscetível,Igual,Aumentou,3,2,1,1 ano,Carolina,NA,NA,60 e 150,8
3,54,Homem,NA,Branco,NA,Pós graduação (completa),2,Exatas,Engenharia,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",2,NA,NA,F,30%,Igual,Menos suscetível,NA,NA,Aumentou,3,1,2,1 ano,NA,Maria,NA,60 e 150,9
4,21,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Psicologia,São Paulo,"Mais de 15 salários mínimos (mais de R$ 15675,01)",4,B,NA,NA,20%,NA,NA,Menos suscetível,Menos suscetível,Aumentou,3,2,1,1 ano,NA,Maria,NA,60 e 150,9
5,22,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Psicologia,Bertioga/ SP,"De 3 a 6 salários mínimos (R$ 3135,01 até R$ 6270)",4,NA,C,NA,30%,Menos suscetível,Mais suscetível,NA,NA,Aumentou,3,2,1,Não sei,NA,NA,Maria,60 e 150,6
6,22,Mulher,NA,Branco,NA,Superior (incompleto),2,Saúde,Psicologia,São Paulo,"De 12 a 15 salários mínimos (R$ 12540,01 até R$ 15675)",4,B,NA,NA,20%,NA,NA,Igual,Igual,Aumentou,3,2,1,1 ano,NA,NA,Maria,60 e 150,7
7,25,Homem,NA,Asiático,NA,Superior (completo),2,Humanas,Economia,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",2,NA,D,NA,20%,Igual,Igual,NA,NA,Permaneceu o mesmo,1,2,3,1 ano,NA,Carolina,NA,60 e 150,5
8,22,Homem,NA,Branco,NA,Superior (incompleto),2,Biológicas,Psicologia,São Paulo,"De 9 a 12 salários mínimos (R$ 9405,01 até R$ 12540)",3,NA,NA,F,Não sei,Igual,Mais suscetível,NA,NA,Permaneceu o mesmo,1,3,2,1 ano,Maria,NA,NA,60 e 150,6
9,23,Homem,NA,Branco,NA,Superior (completo),2,Exatas,Análise e desenvolvimento de sistemas / marketing,São Paulo,"De 6 a 9 salários mínimos (R$ 6270,01 até R$ 9405)",3,NA,NA,E,20%,NA,NA,Igual,Igual,Aumentou,1,2,3,1 ano,NA,NA,Maria,60 e 150,9
